num;nom;slug;sexe;adresse;date_refus;doc_refus;demandes/demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
522;Jonas Tahuaitu;jonas-tahuaitu;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-jonas-tahuaitu.pdf;NONE;20174086;avis-cada/avis-cada-20174086.pdf;27 novembre 2017;29 mai 2017;07 juin 2017
523;Suzanne Tallard;suzanne-tallard;F;Permanence parlementaire, 14 Avenue Lafayette, BP 40232, 17304 Rochefort cedex;;;demandes/demande-irfm-suzanne-tallard.pdf;;20174091;avis-cada/avis-cada-20174091.pdf;27 novembre 2017;;
524;Lionel Tardy;lionel-tardy;H;Permanence parlementaire, 8 Avenue du Pré Closet, Annecy-le-Vieux, 74940 Annecy;;;demandes/demande-irfm-lionel-tardy.pdf;preuves-envoi/preuve-envoi-lionel-tardy.pdf;20174093;avis-cada/avis-cada-20174093.pdf;27 novembre 2017;06 juin 2017;09 juin 2017
525;Jean-Charles Taugourdeau;jean-charles-taugourdeau;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-jean-charles-taugourdeau.pdf;;20174096;avis-cada/avis-cada-20174096.pdf;23 novembre 2017;;
526;Guy Teissier;guy-teissier;H;Présidence de la communauté urbaine, Les Docks, Atrium 10.7, 10, place de la Joliette, 13002 Marseille;;;demandes/demande-irfm-guy-teissier.pdf;;20174135;avis-cada/avis-cada-20174135.pdf;23 novembre 2017;;
527;Pascal Terrasse;pascal-terrasse;H;11 Avenue de Coux, 07000 Privas;;;demandes/demande-irfm-pascal-terrasse.pdf;NONE;20174140;avis-cada/avis-cada-20174140.pdf;23 novembre 2017;02 juin 2017;12 juin 2017
528;Michel Terrot;michel-terrot;H;8 Rue Victor Hugo, 69600 Oullins;;;demandes/demande-irfm-michel-terrot.pdf;;20174141;avis-cada/avis-cada-20174141.pdf;23 novembre 2017;;
529;Jean-Marie Tetart;jean-marie-tetart;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;;;demandes/demande-irfm-jean-marie-tetart.pdf;;20174142;avis-cada/avis-cada-20174142.pdf;23 novembre 2017;;
530;Pascal Thévenot;pascal-thevenot;H;Permanence parlementaire, 13 Rue Paulhan, 78140 Vélizy;;;demandes/demande-irfm-pascal-thevenot.pdf;;20174143;avis-cada/avis-cada-20174143.pdf;23 novembre 2017;;
531;Thomas Thévenoud;thomas-thevenoud;H;Permanence parlementaire, 78 Rue Dinet, 71000 Mâcon;;;demandes/demande-irfm-thomas-thevenoud.pdf;;20174144;avis-cada/avis-cada-20174144.pdf;23 novembre 2017;;
532;Dominique Tian;dominique-tian;H;486 Bis Rue Paradis, 13008 Marseille;;;demandes/demande-irfm-dominique-tian.pdf;;20174145;avis-cada/avis-cada-20174145.pdf;23 novembre 2017;;
533;Sylvie Tolmont;sylvie-tolmont;F;73 Boulevard Carnot, 72000 Le Mans;;;demandes/demande-irfm-sylvie-tolmont.pdf;;20174146;avis-cada/avis-cada-20174146.pdf;23 novembre 2017;;
534;Jean-Louis Touraine;jean-louis-touraine;H;Permanence parlementaire, 117 Avenue de Saxe, 69003 Lyon;;;demandes/demande-irfm-jean-louis-touraine.pdf;NONE;20174147;avis-cada/avis-cada-20174147.pdf;23 novembre 2017;09 juin 2017;13 juin 2017
535;Alain Tourret;alain-tourret;H;Permanence parlementaire (arrdt Viré), 25 Rue Armand Gasté, 14500 Viré;;;demandes/demande-irfm-alain-tourret.pdf;;20174148;avis-cada/avis-cada-20174148.pdf;23 novembre 2017;;
536;Stéphane Travert;stephane-travert;H;Permanence parlementaire, 11 Rue du Calvaire, BP 23, 50250 La Haye du Puits;;;demandes/demande-irfm-stephane-travert.pdf;;20174149;avis-cada/avis-cada-20174149.pdf;23 novembre 2017;;
537;Yannick Trigance;yannick-trigance;H;Permanence parlementaire, 19 Rue Charles Schmidt, 93400 Saint-Ouen;;;demandes/demande-irfm-yannick-trigance.pdf;;20174150;avis-cada/avis-cada-20174150.pdf;23 novembre 2017;;
