num;nom;slug;sexe;adresse;refus;demande;bordereau;cada_no;avis_cada;date_cada;lar_envoi;lar_reception
050;Jacques Alain Bénisti;jacques-alain-benisti;H;Permanence parlementaire, 29 Rue du Général de Gaulle, 94430 Chennevières-sur-Marne; ;demande-irfm-jacques-alain-benisti.pdf;NONE;20173689;avis-cada-20173689.pdf;24 novembre 2017;01 juin 2017;
051;Thierry Benoit;thierry-benoit;H;1 Bis Boulevard Leclerc, 35300 Fougères; ;demande-irfm-thierry-benoit.pdf;preuve-envoi-thierry-benoit.pdf;20173692;avis-cada-20173692.pdf;24 novembre 2017;31 mai 2017;06 juin 2017
052;Karine Berger;karine-berger;F;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP; ;demande-irfm-karine-berger.pdf;;20173691;avis-cada-20173691.pdf;24 novembre 2017;;
053;Sylvain Berrios;sylvain-berrios;H;Permanence parlementaire, 6/8 Rue Maurice Lauzière, 94100 Saint-Maur-des-Fossés; ;demande-irfm-sylvain-berrios.pdf;;20173693;avis-cada-20173693.pdf;24 novembre 2017;;
054;Chantal Berthelot;chantal-berthelot;F;Permanence parlementaire, 2 Rue des Aïmaras, B.P. 199, 97375 Kourou Cedex; ;demande-irfm-chantal-berthelot.pdf;;20173694;avis-cada-20173694.pdf;24 novembre 2017;;
055;Véronique Besse;veronique-besse;F;2 Bis Rue du Tourniquet, 85500 Les Herbiers; ;demande-irfm-veronique-besse.pdf;NONE;20173695;avis-cada-20173695.pdf;24 novembre 2017;07 juin 2017;28 juin 2017
056;Gisèle Biémouret;gisele-biemouret;F;Permanence, 28 Avenue Grünberg, 32100 Condom; ;demande-irfm-gisele-biemouret.pdf;NONE;20173696;avis-cada-20173696.pdf;24 novembre 2017;22 juin 2017;24 juin 2017
057;Philippe Bies;philippe-bies;H;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP; ;demande-irfm-philippe-bies.pdf;preuve-envoi-philippe-bies.pdf;20173697;avis-cada-20173697.pdf;24 novembre 2017;26 mai 2017;06 juin 2017
058;Erwann Binet;erwann-binet;H;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP; ;demande-irfm-erwann-binet.pdf;NONE;20173698;avis-cada-20173698.pdf;24 novembre 2017;09 juin 2017;28 juin 2017
059;Jean-Pierre Blazy;jean-pierre-blazy;H;Hôtel de Ville, 66 Rue de Paris, 95500 Gonesse; ;demande-irfm-jean-pierre-blazy.pdf;;20173699;avis-cada-20173699.pdf;24 novembre 2017;;
060;Yves Blein;yves-blein;H;Permanence parlementaire, 2 Rue du Château, 69200 Venissieux; ;demande-irfm-yves-blein.pdf;NONE;20173701;avis-cada-20173701.pdf;24 novembre 2017;22 juin 2017;30 juin 2017
061;Patrick Bloche;patrick-bloche;H;7 Rue François de Neufchâteau, 75011 Paris; ;demande-irfm-patrick-bloche.pdf;NONE;20173702;avis-cada-20173702.pdf;24 novembre 2017;31 mai 2017;22 juin 2017
062;Alain Bocquet;alain-bocquet;H;4 Rue Jean Jaurès, 59860 Bruay-sur-Escaut; ;demande-irfm-alain-bocquet.pdf;;20173700;avis-cada-20173700.pdf;24 novembre 2017;;
063;Daniel Boisserie;daniel-boisserie;H;Mairie, 87500 Saint-Yrieix-la-Perche; ;demande-irfm-daniel-boisserie.pdf;preuve-envoi-daniel-boisserie.pdf;20173703;avis-cada-20173703.pdf;24 novembre 2017;26 mai 2017;29 mai 2017
064;Jacques Bompard;jacques-bompard;H;La Blissone, Clos Cavalier, Orange, 84100 ; ;demande-irfm-jacques-bompard.pdf;preuve-envoi-jacques-bompard.jpg;20173704;avis-cada-20173704.pdf;24 novembre 2017;26 mai 2017;06 juin 2017
065;Michèle Bonneton;michele-bonneton;F;Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP; ;demande-irfm-michele-bonneton.pdf;;20173705;avis-cada-20173705.pdf;24 novembre 2017;;
066;Marcel Bonnot;marcel-bonnot;H;Permanence, 1 Rue de la Schliffe, BP 67361, 25207 Montbéliard cedex; ;demande-irfm-marcel-bonnot.pdf;preuve-envoi-marcel-bonnot.pdf;20173708;avis-cada-20173708.pdf;24 novembre 2017;31 mai 2017;06 juin 2017
067;Christophe Borgel;christophe-borgel;H;Permanence parlementaire, 16 Bis Avenue de l'URSS, 31400 Toulouse; ;demande-irfm-christophe-borgel.pdf;;20173709;avis-cada-20173709.pdf;24 novembre 2017;;
068;Jean-Claude Bouchet;jean-claude-bouchet;H;33, Cours Sadi-Carnot, BP 70044, 84302 Cavaillon cedex; ;demande-irfm-jean-claude-bouchet.pdf;NONE;20173710;avis-cada-20173710.pdf;24 novembre 2017;22 juin 2017;21 juillet 2017
069;Florent Boudié;florent-boudie;H;Permanence parlementaire, 57 Cours Tourny, 33500 Libourne; ;demande-irfm-florent-boudie.pdf;NONE;20173727;avis-cada-20173727.pdf;24 novembre 2017;22 juin 2017;28 juin 2017
070;Marie-Odile Bouillé;marie-odile-bouille;F;Permanence parlementaire, 30 Rue de Bois Savary, BP 50132, 44603 Saint-Nazaire Cedex; ;demande-irfm-marie-odile-bouille.pdf;;20173711;avis-cada-20173711.pdf;24 novembre 2017;;
071;Christophe Bouillon;christophe-bouillon;H;Permanence parlementaire, 51 Rue Louis Leseigneur, 76360 Barentin; ;demande-irfm-christophe-bouillon.pdf;NONE;20173712;avis-cada-20173712.pdf;24 novembre 2017;22 juin 2017;24 juin 2017
072;Gilles Bourdouleix;gilles-bourdouleix;H;Permanence parlementaire, 7 Rue Travot, 49300 Cholet; ;demande-irfm-gilles-bourdouleix.pdf;;20173713;avis-cada-20173713.pdf;24 novembre 2017;;
073;Brigitte Bourguignon;brigitte-bourguignon;F;1 Rue Minguet, BP 23, 62240 Desvres; ;demande-irfm-brigitte-bourguignon.pdf;NONE;20173714;avis-cada-20173714.pdf;24 novembre 2017;22 juin 2017;21 juillet 2017
074;Malek Boutih;malek-boutih;H;4 Rue Émile Kahn, 91700 Sainte-Geneviève-des-Bois; ;demande-irfm-malek-boutih.pdf;;20173715;avis-cada-20173715.pdf;24 novembre 2017;;
075;Kheira Bouziane-Laroussi;kheira-bouziane-laroussi;F;4 Avenue du Parc, 21800 Quetigny; ;demande-irfm-kheira-bouziane-laroussi.pdf;;20173716;avis-cada-20173716.pdf;24 novembre 2017;;
076;Valérie Boyer;valerie-boyer;F;50 Avenue des Caillols, 13012 Marseille; ;demande-irfm-valerie-boyer.pdf;NONE;20173717;avis-cada-20173717.pdf;24 novembre 2017;22 juin 2017;03 juillet 2017
077;Emeric Bréhier;emeric-brehier;H;Permanence parlementaire, 2 Rue Berteaux, 77500 Chelles; ;demande-irfm-emeric-brehier.pdf;;20173718;avis-cada-20173718.pdf;24 novembre 2017;;
078;Marine Brenier;marine-brenier;F;Permanence parlementaire, 211 Avenue de la Californie, 06200 Nice; ;demande-irfm-marine-brenier.pdf;preuve-envoi-marine-brenier.jpg;20173719;avis-cada-20173719.pdf;24 novembre 2017;26 mai 2017;06 juin 2017
079;Xavier Breton;xavier-breton;H;27 Rue du Docteur Hudellet, 01000 Bourg-en-Bresse; ;demande-irfm-xavier-breton.pdf;NONE;20173720;avis-cada-20173720.pdf;24 novembre 2017;23 mai 2017;06 juin 2017
080;Philippe Briand;philippe-briand;H;Hôtel de Ville, BP 139, 37541 Saint-Cyr cedex; ;demande-irfm-philippe-briand.pdf;NONE;20173721;avis-cada-20173721.pdf;24 novembre 2017;24 mai 2017;06 juin 2017
081;Jean-Louis Bricout;jean-louis-bricout;H;Permanence parlementaire, 9 Rue de la République, 02140 Vervins; ;demande-irfm-jean-louis-bricout.pdf;NONE;20173722;avis-cada-20173722.pdf;24 novembre 2017;22 juin 2017;
082;Jean-Jacques Bridey;jean-jacques-bridey;H;Hôtel de Ville, 94260 Fresnes; ;demande-irfm-jean-jacques-bridey.pdf;;20173723;avis-cada-20173723.pdf;24 novembre 2017;;
083;Bernard Brochand;bernard-brochand;H;Permanence parlementaire, 5 Rue Louis Blanc, 06400 Cannes; ;demande-irfm-bernard-brochand.pdf;NONE;20173724;avis-cada-20173724.pdf;24 novembre 2017;22 juin 2017;30 juin 2017
084;Isabelle Bruneau;isabelle-bruneau;F;Permanence parlementaire, 4 Place du marché aux légumes, BP 27, 36102 Issoudun Cedex; ;demande-irfm-isabelle-bruneau.pdf;;20173725;avis-cada-20173725.pdf;24 novembre 2017;;
085;Marie-George Buffet;marie-george-buffet;F;2 Rue Carnot, 93240 Stains; ;demande-irfm-marie-george-buffet.pdf;NONE;20173726;avis-cada-20173726.pdf;24 novembre 2017;22 juin 2017;
086;Sabine Buis;sabine-buis;F;26 Rue Jean Mermoz, Résidence Osiris, 07200 Aubenas; ;demande-irfm-sabine-buis.pdf;NONE;20173519;avis-cada-20173519.pdf;29 décembre 2017;08 juin 2017;28 juin 2017
087;Jean-Claude Buisine;jean-claude-buisine;H;Permanence parlementaire, 13 Rue du Général Sarrail, 80210 Feuquières-en-Vimeu; ;demande-irfm-jean-claude-buisine.pdf;;20173533;avis-cada-20173533.pdf;29 décembre 2017;;
088;Sylviane Bulteau;sylviane-bulteau;F;Permanence parlementaire, BP 60371, 85009 La Roche-sur-Yon Cedex; ;demande-irfm-sylviane-bulteau.pdf;preuve-envoi-sylviane-bulteau.jpg;20173534;avis-cada-20173534.pdf;29 décembre 2017;16 juin 2017;14 juillet 2017
089;Vincent Burroni;vincent-burroni;H;Permanence parlementaire (courrier), BP 10, 13161 Châteauneuf-les-Martigues Cedex; ;demande-irfm-vincent-burroni.pdf;;20173535;avis-cada-20173535.pdf;29 décembre 2017;;
090;Dominique Bussereau;dominique-bussereau;H;Conseil général de Charente-Maritime, 88 Boulevard de la République, 17000 La Rochelle; ;demande-irfm-dominique-bussereau.pdf;;20173536;avis-cada-20173536.pdf;29 décembre 2017;;
091;Alain Calmette;alain-calmette;H;Permanence parlementaire, 8 Boulevard du Pont Rouge, 15000 Aurillac; ;demande-irfm-alain-calmette.pdf;;20173537;avis-cada-20173537.pdf;29 décembre 2017;;
092;Jean-Christophe Cambadélis;jean-christophe-cambadelis;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-jean-christophe-cambadelis.pdf;preuve-envoi-jean-christophe-cambadelis.pdf;20173538;avis-cada-20173538.pdf;29 décembre 2017;27 mai 2017;06 juin 2017
093;Jean-Jacques Candelier;jean-jacques-candelier;H;Permanence, Place Victor Brachelet, 59490 Somain; ;demande-irfm-jean-jacques-candelier.pdf;;20173539;avis-cada-20173539.pdf;29 décembre 2017;;
094;Colette Capdevielle;colette-capdevielle;F;Permanence parlementaire, 5 Allées Marines, Résidence Allées marines - Porte 7, 64100 Bayonne; ;demande-irfm-colette-capdevielle.pdf;;20173540;avis-cada-20173540.pdf;29 décembre 2017;;
095;Yann Capet;yann-capet;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP;REFUS;demande-irfm-yann-capet.pdf;;20173395;avis-cada-20173395.pdf;24 novembre 2017;;
096;Christophe Caresche;christophe-caresche;H;Permanence parlementaire, 76 Bis Rue Duhesme, 75018 Paris; ;demande-irfm-christophe-caresche.pdf;NONE;20173541;avis-cada-20173541.pdf;29 décembre 2017;31 mai 2017;
097;Marie-Arlette Carlotti;marie-arlette-carlotti;F;Permanence parlementaire, 83 Boulevard Chave, 13005 Marseille; ;demande-irfm-marie-arlette-carlotti.pdf;;20173542;avis-cada-20173542.pdf;29 décembre 2017;;
098;Jean-Noël Carpentier;jean-noel-carpentier;H;4 Rue de la Croix blanche, 95370 Montigny-les-Cormeilles; ;demande-irfm-jean-noel-carpentier.pdf;;20173543;avis-cada-20173543.pdf;29 décembre 2017;;
099;Olivier Carré;olivier-carre;H;Hôtel de Vill, 1 Place de l'Étape, 45000 Orléans; ;demande-irfm-olivier-carre.pdf;preuve-envoi-olivier-carre.png;20173544;avis-cada-20173544.pdf;29 décembre 2017;04 juin 2017;13 juin 2017
100;Gilles Carrez;gilles-carrez;H;Hôtel de Ville, Place de la Libération, 94170 Le Perreux-sur-Marne; ;demande-irfm-gilles-carrez.pdf;preuve-envoi-gilles-carrez.jpg;20173545;avis-cada-20173545.pdf;29 décembre 2017;01 juin 2017;07 juin 2017
101;Martine Carrillon-Couvreur;martine-carrillon-couvreur;F;1 Bis Avenue Saint Just, BP 70217, 58002 Nevers Cedex; ;demande-irfm-martine-carrillon-couvreur.pdf;;20173546;avis-cada-20173546.pdf;29 décembre 2017;;
102;Patrice Carvalho;patrice-carvalho;H;Mairie, Rue Jean Jaurès, 60150 Thourotte; ;demande-irfm-patrice-carvalho.pdf;;20173547;avis-cada-20173547.pdf;29 décembre 2017;;
103;Christophe Castaner;christophe-castaner;H;Permanence parlementaire, 39 Rue Grande, 04100 Manosque; ;demande-irfm-christophe-castaner.pdf;NONE;20173548;avis-cada-20173548.pdf;29 décembre 2017;09 juin 2017;
104;Laurent Cathala;laurent-cathala;H;Hôtel de Ville, 94000 Créteil; ;demande-irfm-laurent-cathala.pdf;;20173549;avis-cada-20173549.pdf;03 janvier 2018;;
105;Jean-Yves Caullet;jean-yves-caullet;H;Permanence parlementaire, 7 Rue Tour du Magasin, BP71, 89202 Avallon Cedex;REFUS;demande-irfm-jean-yves-caullet.pdf;preuve-envoi-jean-yves-caullet.jpg;20173403;avis-cada-20173403.pdf;24 novembre 2017;06 juin 2017;09 juin 2017
106;Christophe Cavard;christophe-cavard;H;Permanence parlementaire, 9 Rue de l'Écluse, 30000 Nîmes; ;demande-irfm-christophe-cavard.pdf;NONE;20173550;avis-cada-20173550.pdf;03 janvier 2018;01 juin 2017;07 juin 2017
107;Yves Censi;yves-censi;H;5 Boulevard de la République, 12000 Rodez; ;demande-irfm-yves-censi.pdf;;20173551;avis-cada-20173551.pdf;03 janvier 2018;;
108;Nathalie Chabanne;nathalie-chabanne;F;14 Rue Jean-Jacques de Monaix, 64000 Pau; ;demande-irfm-nathalie-chabanne.pdf;;20173552;avis-cada-20173552.pdf;03 janvier 2018;;
109;Ary Chalus;ary-chalus;H;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-ary-chalus.pdf;;20174114;avis-cada-20174114.pdf;03 janvier 2018;;
110;Guy Chambefort;guy-chambefort;H;Permanence, 23 Place Jules Ferry, 03400 Yzeure; ;demande-irfm-guy-chambefort.pdf;;20173460;avis-cada-20173460.pdf;29 décembre 2017;;
111;Jean-Paul Chanteguet;jean-paul-chanteguet;H;Permanence parlementaire, 6 Bis Rue Saint-Luc, 36000 Châteauroux; ;demande-irfm-jean-paul-chanteguet.pdf;preuve-envoi-jean-paul-chanteguet.pdf;20173461;avis-cada-20173461.pdf;29 décembre 2017;25 mai 2017;06 juin 2017
112;Marie-Anne Chapdelaine;marie-anne-chapdelaine;F;Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP; ;demande-irfm-marie-anne-chapdelaine.pdf;NONE;20174687;avis-cada-20174687.pdf;03 janvier 2018;23 mai 2017;06 juin 2017
113;Gérard Charasse;gerard-charasse;H;Permanence parlementaire, 72 Rue de Paris, 03200 Vichy; ;demande-irfm-gerard-charasse.pdf;;20173463;avis-cada-20173463.pdf;29 décembre 2017;;
114;Gaby Charroux;gaby-charroux;H;Hôtel de Ville, BP 60101, 13692 Martigues Cedex; ;demande-irfm-gaby-charroux.pdf;;20174118;avis-cada-20174118.pdf;03 janvier 2018;;
115;Jérôme Chartier;jerome-chartier;H;47 Rue de la Mairie, 95330 Domont; ;demande-irfm-jerome-chartier.pdf;;20173476;avis-cada-20173476.pdf;29 décembre 2017;;
116;André Chassaigne;andre-chassaigne;H;4 Place Jean-Antoine Pourtier, 63890 Saint-Amant-Roche-Savine; ;demande-irfm-andre-chassaigne.pdf;preuve-envoi-andre-chassaigne.jpg;20174688;avis-cada-20174688.pdf;03 janvier 2018;26 mai 2017;06 juin 2017
